Channel,Band,AD_mean,HC_mean,Diff (AD-HC),t_stat,p_value,significant (p<.05)
Fp1,Delta,50.76921624299355,13.224951059679174,37.54426518331438,4.646694541646266,7.731420029501248e-06,True
Fp1,Theta,22.066908932721066,5.353914730680161,16.712994202040903,5.46110057866948,1.6219283537574023e-07,True
Fp1,Alpha,7.879892660473681,3.8973402871626357,3.9825523733110453,3.875376489884854,0.000145002175431871,True
Fp1,Beta,9.632493567658226,3.0147540938538513,6.6177394738043755,6.666719456651488,4.1269155684877586e-10,True
Fp2,Delta,52.18685672328963,12.63792117160609,39.54893555168354,4.44110251326882,1.850283179285426e-05,True
Fp2,Theta,22.605036456179725,5.138543068949234,17.466493387230493,5.302535367614889,3.719842431443858e-07,True
Fp2,Alpha,8.079175463023933,3.898399250950187,4.180776212073747,4.035477001914418,7.787931894426549e-05,True
Fp2,Beta,8.439877340279438,4.200134937603313,4.239742402676125,3.629874996170185,0.0003629004531419079,True
F3,Delta,19.99621945112851,10.263923197198892,9.732296253929619,4.0732602701240115,6.726601650893269e-05,True
F3,Theta,13.878020605018055,4.036565397703137,9.841455207314919,7.1078836009565345,2.3241686576114643e-11,True
F3,Alpha,6.209698248953624,3.4148651997923603,2.794833049161264,3.900571833126657,0.00013161943223472954,True
F3,Beta,6.543590877118382,5.750712943100333,0.7928779340180494,0.5872811791007486,0.5582269824546602,False
F4,Delta,19.42041930283868,12.336057567877353,7.084361734961329,2.862658786682059,0.004653401956303206,True
F4,Theta,20.62784752877263,6.379624348694858,14.248223180077773,7.029212318423223,3.959455539355495e-11,True
F4,Alpha,10.299280505094396,5.21596437055157,5.083316134542826,3.7889512606563973,0.0002009559573208244,True
F4,Beta,9.23529355199711,4.58709466919314,4.64819888280397,4.280019803191104,2.9842812682031984e-05,True
C3,Delta,22.70460060390785,12.539104211369155,10.165496392538694,3.8944395640028913,0.00013471615857605317,True
C3,Theta,24.919772420520815,7.208360450259426,17.711411970261388,7.4791800308427545,3.689723918931227e-12,True
C3,Alpha,11.945105910313162,6.288413315554591,5.656692594758571,3.417174863528068,0.0007679856170112635,True
C3,Beta,6.54026017456777,4.603353144110482,1.936907030457288,2.5866988400378386,0.010506911074036649,True
C4,Delta,23.056068686188784,11.546940647412917,11.509128038775867,4.0776288279547535,6.725990405566056e-05,True
C4,Theta,22.593470142952192,6.1127113595191025,16.48075878343309,7.387968188553421,7.600564309726882e-12,True
C4,Alpha,11.025231479140517,5.88306426998693,5.1421672091535875,3.4017196356911463,0.0008102675018121441,True
C4,Beta,9.549880343062462,5.550712008310845,3.9991683347516167,3.1434329129075866,0.001927931166057661,True
P3,Delta,22.650067772308883,9.18711507886466,13.462952693444224,5.011771315333945,1.2676086808794763e-06,True
P3,Theta,14.076840696645908,3.816369233874045,10.260471462771863,7.563420673255093,2.1115837797062493e-12,True
P3,Alpha,7.0506212338229615,3.8613932604075694,3.189227973415392,3.627846441499978,0.0003636674427072326,True
P3,Beta,7.413548111625558,6.9443011794434,0.4692469321821582,0.2614706671559636,0.7942065037191083,False
P4,Delta,11.185124212880368,8.940541352834616,2.2445828600457514,1.2080299715768983,0.22850080687624624,False
P4,Theta,11.610189922068587,4.029506905598944,7.580683016469643,5.857718301085299,2.6139025313352594e-08,True
P4,Alpha,6.251257693173824,5.67840483647767,0.5728528566961542,0.609777498229154,0.5429134161162523,False
P4,Beta,15.945643912895237,11.552954732685638,4.392689180209599,1.5108654985410062,0.13242060432205935,False
O1,Delta,14.740504297526103,12.182095587276045,2.558408710250058,1.1786985951558406,0.24002371141500517,False
O1,Theta,18.105316993332046,6.9177649779560095,11.187552015376037,5.777668841909192,3.211472828163758e-08,True
O1,Alpha,11.098024696494221,8.957745557263674,2.1402791392305467,1.0354667619129838,0.3021412932660293,False
O1,Beta,7.303414624472181,6.495218075442046,0.8081965490301348,0.8158086076857264,0.41606388697907515,False
O2,Delta,19.62173587386535,15.602580648110274,4.019155225755076,1.488835636956265,0.1382633014252797,False
O2,Theta,23.52368760634878,8.689775346627943,14.833912259720837,5.994161829622381,1.1469457873099546e-08,True
O2,Alpha,14.580452222661528,9.10338248131575,5.477069741345778,2.349425238116376,0.019787633591308886,True
O2,Beta,8.711948368726027,5.837561434395077,2.87438693433095,2.7817496599138316,0.00595359171224959,True
F7,Delta,15.610295834575897,12.87048924338239,2.7398065911935063,1.2575374009721958,0.21023843266747239,False
F7,Theta,19.975919673624354,7.026678606758848,12.949241066865506,6.397095011217677,1.373540675131326e-09,True
F7,Alpha,12.40213003888803,9.86639692430059,2.5357331145874404,1.2649994771123683,0.20771237200762177,False
F7,Beta,7.936310596266188,8.838402621843263,-0.9020920255770752,-0.3814119919767873,0.7038170663805676,False
F8,Delta,10.38491774918501,8.440826487200399,1.944091261984612,1.277196634304419,0.20305495231319198,False
F8,Theta,10.853743430158627,3.9784645700124326,6.875278860146194,5.8686872160658075,2.2660845095690226e-08,True
F8,Alpha,6.752618409959019,6.373457863220942,0.37916054673807675,0.3445617437209729,0.7309207483909671,False
F8,Beta,14.061301370616171,13.021647837068032,1.0396535335481385,0.2751479782238372,0.7837262411433723,False
T3,Delta,12.277348083725743,12.944898842260244,-0.6675507585345013,-0.313221507227862,0.7544775983954215,False
T3,Theta,14.857123271895325,7.703057296486165,7.154065975409161,3.5804021511985042,0.00043760892190828574,True
T3,Alpha,8.82261463166036,26.82578561852187,-18.003170986861512,-2.726014727752727,0.007872013819980959,True
T3,Beta,5.655534307861626,9.235593045057335,-3.580058737195709,-2.400939192995544,0.01826834325055777,True
T4,Delta,18.851866553102234,14.317568072157195,4.534298480945038,1.5970079213406845,0.1118638296677113,False
T4,Theta,21.5491460976189,7.914790125581406,13.634355972037497,5.852672424012773,2.1707307885301915e-08,True
T4,Alpha,15.504986104378943,25.743166701805986,-10.238180597427043,-1.7441235197753164,0.084364482260671,False
T4,Beta,6.058624317416594,8.063914492196515,-2.0052901747799208,-1.716998435841608,0.08894916008422464,False
T5,Delta,22.594669718295066,16.545426889079938,6.049242829215128,1.7813257681422112,0.07639253838674732,False
T5,Theta,23.91958379579579,8.453412737299956,15.466171058495835,5.847868191218223,2.3965610069687236e-08,True
T5,Alpha,19.10445409565979,27.50739835948014,-8.402944263820348,-1.3606121499497434,0.17659328519375633,False
T5,Beta,6.3376845653325375,7.455089327085831,-1.1174047617532938,-1.048090757425242,0.2967746217343512,False
T6,Delta,18.202509840924453,15.131835640833891,3.0706742000905614,1.168435666930858,0.24416227971968996,False
T6,Theta,22.406653465870956,8.175219226926522,14.231434238944434,5.9319841657117625,1.4142306957087018e-08,True
T6,Alpha,17.336984490114926,28.01289999517743,-10.675915505062505,-1.8467676629868517,0.06800927962713263,False
T6,Beta,6.557454319548637,7.9495726410940435,-1.3921183215454063,-1.202297960551871,0.23179021760165588,False
Fz,Delta,11.246737368282592,13.640093923320991,-2.3933565550384,-1.1766111680379971,0.24137523843869804,False
Fz,Theta,14.993353769256338,8.14732249682655,6.846031272429787,3.465999722710969,0.0006587235307787689,True
Fz,Alpha,9.699697272337245,27.861078984574497,-18.16138171223725,-3.138827957735325,0.002367036880388357,True
Fz,Beta,6.764853149169517,9.173516652641274,-2.4086635034717565,-1.6138459823105227,0.1090132054149359,False
Cz,Delta,19.74377709909807,14.435224508407824,5.3085525906902475,1.1246856531205842,0.26242721515189676,False
Cz,Theta,15.670492595047891,8.323649311745445,7.346843283302446,3.6098361719656613,0.000388436034888287,True
Cz,Alpha,12.2782896651816,41.72539810749636,-29.44710844231476,-3.0282284594515048,0.0032968557283585085,True
Cz,Beta,5.821095489042201,10.366704259853057,-4.545608770810856,-2.679294437310742,0.008551913673136432,True
Pz,Delta,14.542916799186541,15.149587499166952,-0.6066706999804108,-0.26031727287940837,0.7949700916510027,False
Pz,Theta,16.369739412972184,9.034454011920719,7.335285401051465,3.2559527183451316,0.0013395442183468458,True
Pz,Alpha,13.369927835082787,47.41388076060396,-34.04395292552117,-3.142533274321744,0.0023498774722085507,True
Pz,Beta,6.939207210553645,10.459521053428997,-3.5203138428753515,-1.8357642910386658,0.06839385140117953,False
